                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 0.7997,                0.55877,                0.86098,                0.95801,                0.70134,                0.72493,                 0.5891,                 0.7835,                0.56398,                0.81971,              0.0011609,              0.0011609,              0.0011609
                     74,                0.85013,                0.57459,                0.85916,                0.94458,                 0.7136,                0.72682,                0.58357,                0.77193,                0.56522,                0.82537,              0.0011597,              0.0011597,              0.0011597
                     75,                0.83594,                0.55302,                0.86787,                0.93959,                 0.7224,                0.72522,                0.55219,                 0.9803,                0.60063,                0.82722,              0.0011584,              0.0011584,              0.0011584
                     76,                0.80608,                0.55581,                0.86262,                0.94525,                0.72211,                0.72712,                0.60133,                0.64238,                0.55392,                0.80575,              0.0011572,              0.0011572,              0.0011572
                     77,                0.86496,                0.56057,                0.85409,                0.94543,                0.71439,                0.72505,                0.60575,                0.65154,                0.51773,                0.81115,              0.0011559,              0.0011559,              0.0011559
                     78,                 0.8581,                0.55874,                0.85748,                0.93364,                0.72621,                0.72253,                0.57993,                0.73932,                0.55339,                0.82518,              0.0011547,              0.0011547,              0.0011547
                     79,                0.78464,                0.55054,                0.85308,                0.93489,                0.72955,                0.72271,                0.61328,                0.62943,                0.50803,                0.80795,              0.0011535,              0.0011535,              0.0011535
                     80,                0.81271,                0.55512,                0.85837,                0.96756,                0.70754,                0.72164,                0.61342,                0.62229,                0.51392,                0.80719,              0.0011522,              0.0011522,              0.0011522
                     81,                0.80345,                0.54341,                0.85564,                0.96582,                 0.6963,                0.72696,                0.63093,                0.58262,                0.48802,                0.80935,               0.001151,               0.001151,               0.001151
                     82,                0.81397,                0.53838,                0.86245,                0.94633,                0.71682,                0.72689,                0.59518,                0.70664,                0.52322,                0.82228,              0.0011498,              0.0011498,              0.0011498
                     83,                 0.9085,                0.57887,                0.86285,                0.96706,                0.70431,                0.72784,                0.54809,                0.97737,                0.59169,                0.82508,              0.0011485,              0.0011485,              0.0011485
                     84,                0.79972,                0.55038,                 0.8563,                0.94329,                0.73137,                0.72101,                0.59804,                0.66339,                0.52826,                0.81032,              0.0011473,              0.0011473,              0.0011473
                     85,                0.79381,                0.54942,                0.86528,                0.95851,                 0.7313,                 0.7218,                0.59047,                0.66498,                0.50675,                0.80235,              0.0011461,              0.0011461,              0.0011461
                     86,                0.76736,                0.52268,                0.85903,                0.94912,                0.72701,                0.72049,                0.57334,                0.74713,                0.54741,                0.81424,              0.0011448,              0.0011448,              0.0011448
                     87,                0.76509,                0.53748,                0.84533,                 0.9473,                0.72856,                0.72756,                0.61359,                0.61481,                0.53681,                0.81105,              0.0011436,              0.0011436,              0.0011436
                     88,                0.75966,                0.53012,                 0.8596,                0.94237,                0.71285,                0.73169,                0.59868,                0.69298,                0.54342,                0.80919,              0.0011423,              0.0011423,              0.0011423
                     89,                0.81046,                0.52575,                0.85124,                0.93333,                0.72824,                0.72908,                0.59929,                0.72674,                0.55253,                0.80779,              0.0011411,              0.0011411,              0.0011411
                     90,                0.81674,                0.53039,                0.84987,                0.95343,                0.72467,                0.73138,                0.60689,                0.63414,                0.51123,                0.80791,              0.0011399,              0.0011399,              0.0011399
                     91,                0.87233,                0.54248,                0.84931,                  0.951,                0.71255,                0.72647,                0.51841,                 1.0617,                0.58958,                0.83668,              0.0011386,              0.0011386,              0.0011386
                     92,                0.97202,                0.57866,                0.85158,                0.96178,                0.71285,                0.72258,                0.60965,                0.61041,                0.50635,                0.80658,              0.0011374,              0.0011374,              0.0011374
