                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.46929,                 0.3115,                0.77998,                0.94187,                0.73908,                0.74632,                0.68372,                0.42724,                 0.3988,                0.74449,              0.0011052,              0.0011052,              0.0011052
                    119,                0.50102,                0.32828,                0.77946,                0.94875,                0.73635,                 0.7516,                0.66644,                0.54856,                0.41492,                0.74765,               0.001104,               0.001104,               0.001104
                    120,                0.51281,                0.32866,                0.78319,                0.94855,                0.72909,                0.76805,                0.69063,                0.52056,                0.43083,                0.74501,              0.0011027,              0.0011027,              0.0011027
                    121,                0.49206,                0.31861,                0.77493,                0.94512,                 0.7272,                0.72729,                0.67061,                0.42557,                0.39918,                0.74303,              0.0011015,              0.0011015,              0.0011015
                    122,                0.50748,                0.32845,                0.77341,                0.94846,                0.73406,                0.74423,                0.68389,                0.43339,                0.40134,                0.74344,              0.0011003,              0.0011003,              0.0011003
                    123,                0.46754,                0.31666,                0.77939,                0.94427,                0.73646,                0.74228,                0.66244,                0.51123,                0.40958,                0.74441,               0.001099,               0.001099,               0.001099
                    124,                0.48423,                 0.3153,                0.77753,                0.94401,                0.73829,                0.74563,                0.66742,                0.53182,                0.42827,                0.74606,              0.0010978,              0.0010978,              0.0010978
                    125,                0.49207,                0.31813,                0.78064,                 0.9455,                0.73646,                0.74789,                0.68144,                0.45687,                0.39306,                0.74434,              0.0010965,              0.0010965,              0.0010965
                    126,                 0.4724,                0.30615,                 0.7814,                0.94286,                0.73646,                0.72603,                0.67359,                0.42255,                0.38233,                0.74283,              0.0010953,              0.0010953,              0.0010953
                    127,                0.46144,                0.30116,                0.77939,                 0.9472,                0.73781,                0.72899,                0.67719,                0.40637,                0.37985,                0.74454,              0.0010941,              0.0010941,              0.0010941
                    128,                0.49232,                0.31273,                0.78134,                0.95315,                0.72211,                0.74127,                 0.6925,                0.39398,                0.37912,                0.74307,              0.0010928,              0.0010928,              0.0010928
                    129,                 0.5058,                0.32425,                0.78201,                0.94143,                0.74062,                 0.7448,                 0.6798,                0.44474,                0.39276,                0.74389,              0.0010916,              0.0010916,              0.0010916
                    130,                 0.4909,                0.32232,                0.77827,                0.94786,                0.74062,                0.75407,                0.68753,                0.46723,                0.39097,                0.74351,              0.0010904,              0.0010904,              0.0010904
                    131,                0.46953,                0.30612,                0.77332,                0.94459,                0.73781,                0.74146,                0.67523,                0.47601,                0.38734,                0.74653,              0.0010891,              0.0010891,              0.0010891
                    132,                0.49289,                0.31587,                0.77898,                0.95197,                0.74007,                0.74225,                0.66772,                0.47956,                0.38309,                0.74527,              0.0010879,              0.0010879,              0.0010879
                    133,                0.47179,                0.30583,                0.77803,                0.94955,                0.74062,                0.74837,                0.69255,                0.41106,                0.36322,                0.74376,              0.0010866,              0.0010866,              0.0010866
                    134,                0.48734,                0.30837,                0.77954,                0.96133,                0.72844,                0.76066,                0.70534,                0.40824,                0.36978,                0.74261,              0.0010854,              0.0010854,              0.0010854
